Release_Date,Title,Overview,Popularity,Vote_Count,Vote_Average,Original_Language,Genre,Poster_Url
2009-12-10,Avatar,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",297.357,25011,7.5,en,"Action, Adventure, Fantasy, Science Fiction",https://image.tmdb.org/t/p/original/jRXYjXNq0Cs2TcJjLkki24MLp7u.jpg
2021-06-11,Mobile Suit Gundam Hathaway,"After Char's rebellion, Hathaway Noa leads an insurgency against Earth Federation, but meeting an enemy officer and a mysterious woman alters his fate.",292.604,77,7.8,ja,"Animation, Action, Drama, Science Fiction",https://image.tmdb.org/t/p/original/6gw8onh4FKsruBA7Oouv01EFxzn.jpg
2021-10-27,Army of Thieves,A mysterious woman recruits bank teller Ludwig Dieter to lead a group of aspiring thieves on a top-secret heist during the early stages of the zombie apocalypse.,290.54,1167,6.9,en,"Crime, Comedy",https://image.tmdb.org/t/p/original/iPTZGFmPs7HsXHYxiuxGolihjOH.jpg
2022-02-23,UFO,"When aspiring musician and student Deniz falls for a rough-hewn motorbike racer, tragedy and family opposition obstruct their path to love.",290.481,15,5.2,tr,"Drama, Romance",https://image.tmdb.org/t/p/original/m7mNjsZKuLpBWYNGSTLmWKOYkvl.jpg
2022-03-03,The Weekend Away,"When her best friend vanishes during a girls' trip to Croatia, Beth races to figure out what happened. But each clue yields another unsettling deception.",290.206,119,5.9,en,"Thriller, Mystery",https://image.tmdb.org/t/p/original/6MS0QEl7UK2gdFFbHfNwuYlsq4H.jpg
2020-11-25,The Croods: A New Age,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",284.798,2877,7.6,en,"Animation, Family, Adventure, Fantasy, Comedy",https://image.tmdb.org/t/p/original/tbVZ3Sq88dZaCANlUcewQuHQOaE.jpg
2021-12-03,Back to the Outback,"Tired of being locked in a reptile house where humans gawk at them like they are monsters, a ragtag group of Australia’s deadliest creatures plot an escape from their zoo to the Outback, a place where they’ll fit in without being judged.",282.246,341,7.7,en,"Animation, Family, Adventure, Comedy",https://image.tmdb.org/t/p/original/zNXNRLH5wJprUG6B1olaBTNZOjy.jpg
2021-07-02,The Tomorrow War,"The world is stunned when a group of time travelers arrive from the year 2051 to deliver an urgent message: Thirty years in the future, mankind is losing a global war against a deadly alien species. The only hope for survival is for soldiers and civilians from the present to be transported to the future and join the fight. Among those recruited is high school teacher and family man Dan Forester. Determined to save the world for his young daughter, Dan teams up with a brilliant scientist and his estranged father in a desperate quest to rewrite the fate of the planet.",282.068,5182,8.0,en,"Action, Science Fiction, Adventure",https://image.tmdb.org/t/p/original/34nDCQZwaEvsy4CFO5hkGRFDCVU.jpg
2022-01-28,Home Team,"Two years after a Super Bowl win when NFL head coach Sean Payton is suspended, he goes back to his hometown and finds himself reconnecting with his 12-year-old son by coaching his Pop Warner football team.",280.613,368,6.9,en,"Family, Comedy",https://image.tmdb.org/t/p/original/xdPdVJGIQjuVhK7SeK5fpjuc1bu.jpg
2021-03-17,The Fallout,"In the wake of a school tragedy, Vada, Mia and Quinton form a unique and dynamic bond as they navigate the never linear, often confusing journey to heal in a world that feels forever changed.",279.344,130,7.4,en,Drama,https://image.tmdb.org/t/p/original/y94auaBWq1E7sun3ZpvBmQfGUW.jpg
